rxn number,sensitivity,cantera equation,cantera products,cantera reactants
912,-0.0026438519942650457,CF3(45) + HCO(14) <=> CHF3(42) + CO(12),"{'CHF3(42)': 1.0, 'CO(12)': 1.0}","{'CF3(45)': 1.0, 'HCO(14)': 1.0}"
2605,-0.002546373059891025,CF2(43) + HCO(14) <=> CF2CH(73) + O(6),"{'CF2CH(73)': 1.0, 'O(6)': 1.0}","{'CF2(43)': 1.0, 'HCO(14)': 1.0}"
448,-0.002504429361048547,C3HF4(540) <=> C3HF4(84),{'C3HF4(84)': 1.0},{'C3HF4(540)': 1.0}
19,-0.002466970180707224,HO2(10) + OH(2) <=> H2O(4) + O2(3),"{'H2O(4)': 1.0, 'O2(3)': 1.0}","{'HO2(10)': 1.0, 'OH(2)': 1.0}"
1239,0.0024642553842697374,C3HF4(540) + O2(3) <=> CF2O(49) + S(1682),"{'CF2O(49)': 1.0, 'S(1682)': 1.0}","{'C3HF4(540)': 1.0, 'O2(3)': 1.0}"
895,0.0024402741328044823,CHF3(42) + M <=> CF2(43) + HF(38) + M,"{'CF2(43)': 1.0, 'HF(38)': 1.0}",{'CHF3(42)': 1.0}
154,0.0024282278228813636,H(5) + HCCO(20) <=> CH2(S)(24) + CO(12),"{'CH2(S)(24)': 1.0, 'CO(12)': 1.0}","{'H(5)': 1.0, 'HCCO(20)': 1.0}"
2108,0.002417602497674001,C3HF2(210) + CH2CFO(79) <=> C3HF3(150) + CH2CO(27),"{'C3HF3(150)': 1.0, 'CH2CO(27)': 1.0}","{'C3HF2(210)': 1.0, 'CH2CFO(79)': 1.0}"
897,0.00241162367008424,CF3(45) + CH2O(19) <=> CHF3(42) + HCO(14),"{'CHF3(42)': 1.0, 'HCO(14)': 1.0}","{'CF3(45)': 1.0, 'CH2O(19)': 1.0}"
2129,-0.0023794991828079482,O(6) + S(129) <=> C3HF2(210) + OH(2),"{'C3HF2(210)': 1.0, 'OH(2)': 1.0}","{'O(6)': 1.0, 'S(129)': 1.0}"
2120,0.0023204859551198788,C3HF2(210) + C3HF4(540) <=> 2 C3HF3(150),{'C3HF3(150)': 2.0},"{'C3HF2(210)': 1.0, 'C3HF4(540)': 1.0}"
