,0,1
461,0.015532132282303407,0.04564206905209652
462,0.015799821542368194,0.046424178559712856
463,0.0160671307151538,0.04720628806732919
464,0.016334060417426004,0.047988397574945524
465,0.016799317085339677,0.049354270169844554
466,0.017498165547307834,0.05141229260193324
467,0.018194409197936367,0.05347031503402192
468,0.018888058984795536,0.055528337466110606
469,0.019579125755775705,0.05758635989819929
470,0.02026762026244134,0.05964438233028797
471,0.020953553163085226,0.06170240476237666
472,0.021636935025681283,0.06376042719446534
473,0.0223177763307933,0.06581844962655403
474,0.022996087474413947,0.06787647205864272
475,0.023464473998253525,0.06930205905749677
476,0.023931654831556695,0.07072764605635082
477,0.0243976333623679,0.07215323305520487
478,0.024862412961243415,0.07357882005405891
479,0.02532599698166367,0.07500440705291296
480,0.02578838876044202,0.07642999405176701
481,0.02624959161810212,0.07785558105062106
482,0.026709608859232813,0.0792811680494751
483,0.027168443772832826,0.08070675504832915
484,0.02762609963265077,0.0821323420471832
485,0.028082579697519292,0.08355792904603725
486,0.028537887211680733,0.0849835160448913
487,0.028992025405104146,0.08640910304374534
488,0.029444997493793427,0.08783469004259939
489,0.02989680668008822,0.08926027704145344
490,0.030347456152957177,0.09068586404030748
491,0.030796949088283766,0.09211145103916153
492,0.031245288649145185,0.09353703803801558
493,0.03169247798608337,0.09496262503686963
494,0.03213852023736984,0.09638821203572367
495,0.03258341852926334,0.09781379903457772
496,0.03302717597626077,0.09923938603343177
497,0.033469795681341716,0.10066497303228582
498,0.03391128073620669,0.10209056003113987
499,0.034351634221508734,0.10351614702999391
500,0.03479085920707963,0.10494173402884796
501,0.035228958752149396,0.10636732102770201
502,0.0356659359055604,0.10779290802655606
503,0.0361017937059755,0.1092184950254101
504,0.03653653518208075,0.11064408202426415
505,0.036970163352782484,0.1120696690231182
506,0.03740268122739924,0.11349525602197225
507,0.03783409180584814,0.1149208430208263
508,0.03826439807882655,0.11634643001968034
509,0.03869360302798821,0.11777201701853439
510,0.03912170962611488,0.11919760401738844
511,0.03954872083728302,0.12062319101624248
512,0.03997463961702568,0.12204877801509653
513,0.04026247631677162,0.1230142640887333
514,0.04045968071891903,0.12367671169545329
515,0.040656650591949416,0.12433915930217328
516,0.04085338623004225,0.12500160690889328
517,0.04104988792700328,0.12566405451561327
518,0.041246155976268385,0.12632650212233326
519,0.04144219067090686,0.12698894972905325
520,0.04163799230362462,0.12765139733577324
521,0.041833561166766654,0.12831384494249323
522,0.04202889755232022,0.12897629254921322
523,0.04222400175191769,0.1296387401559332
524,0.04241887405683935,0.1303011877626532
525,0.04261351475801612,0.1309636353693732
526,0.042741254367253595,0.13139881776468162
527,0.04282675182585326,0.13169027992021642
528,0.042912204568400614,0.13198174207575122
529,0.04299761261959204,0.13227320423128602
530,0.043082976004111186,0.13256466638682082
531,0.0431682947466289,0.13285612854235562
532,0.04330836324683577,0.13333495527219655
533,0.043448311436992175,0.13381378200203747
534,0.0435881394262635,0.1342926087318784
535,0.043727847323725415,0.13477143546171932
536,0.04386743523836458,0.13525026219156025
537,0.044006903279078254,0.13572908892140118
538,0.044146251554674394,0.1362079156512421
539,0.04428548017387228,0.13668674238108303
540,0.044424589245302785,0.13716556911092395
541,0.044563578877508954,0.13764439584076488
542,0.04470244917894647,0.1381232225706058
543,0.04484120025798402,0.13860204930044673
544,0.044979832222903936,0.13908087603028765
545,0.045195081610178565,0.13982515074044616
546,0.045410043876573915,0.14056942545060466
547,0.04562471942749788,0.14131370016076317
548,0.04583910866787671,0.14205797487092167
549,0.0460532120021541,0.14280224958108018
550,0.046267029834290894,0.14354652429123868
551,0.04648056256776817,0.14429079900139719
552,0.046693810605590316,0.1450350737115557
553,0.046906774350288734,0.1457793484217142
554,0.0471194542039259,0.1465236231318727
555,0.0473318505680984,0.1472678978420312
556,0.04754396384394083,0.1480121725521897
557,0.04775579443212878,0.1487564472623482
558,0.04796734273288252,0.14950072197250672
559,0.04817860914596975,0.15024499668266522
560,0.04838959407070945,0.15098927139282373
561,0.04860029790597433,0.15173354610298223
562,0.048810721050194426,0.15247782081314074
563,0.04902086390135989,0.15322209552329924
564,0.04923072685702391,0.15396637023345774
565,0.04944031031430569,0.15471064494361625
566,0.04964961466989338,0.15545491965377475
567,0.049858640320046804,0.15619919436393326
568,0.05006738766060024,0.15694346907409176
569,0.05027585708696509,0.15768774378425027
570,0.05071421337796728,0.1592559990802083
571,0.05115134121831752,0.16082425437616632
572,0.05181014255206672,0.16319613746735748
573,0.05246615497411714,0.16556802055854863
574,0.05311939114112142,0.1679399036497398
575,0.053769863671751204,0.17031178674093095
576,0.05483789000057466,0.17422817285376876
577,0.05589847231406995,0.17814455896660658
578,0.05695166671913143,0.1820609450794444
579,0.05799752904155251,0.1859773311922822
580,0.05903611483264876,0.18989371730512003
581,0.06006747937454854,0.19381010341795785
582,0.061091677683994455,0.19772648953079566
583,0.062108764515327784,0.20164287564363348
584,0.06311879436306762,0.2055592617564713
585,0.06412182146405802,0.2094756478693091
586,0.06511789979924575,0.21339203398214693
587,0.06610708309499302,0.21730842009498474
588,0.06708942482385988,0.22122480620782256
589,0.06806497820513312,0.22514119232066038
590,0.06903379620492753,0.2290575784334982
591,0.06999593153599519,0.232973964546336
592,0.0709514366573193,0.23689035065917383
593,0.07190036377343008,0.24080673677201164
594,0.07284276483342017,0.24472312288484946
595,0.07377869152978708,0.24863950899768728
596,0.07470819529718016,0.25255589511052506
597,0.07563132731089416,0.25647228122336285
598,0.07654813848527471,0.26038866733620064
599,0.07745867947200802,0.26430505344903843
600,0.07836300065824811,0.2682214395618762
601,0.07926115216470374,0.272137825674714
602,0.08015318384364564,0.2760542117875518
603,0.08103914527695016,0.2799705979003896
604,0.08164686103481486,0.28267252923565356
605,0.08225172714223566,0.28537446057091753
606,0.08285375965217025,0.2880763919061815
607,0.08345297455485014,0.2907783232414455
608,0.08404938777738037,0.29348025457670945
609,0.0846430151833266,0.29618218591197343
610,0.08523387257236921,0.2988841172472374
611,0.08563025661407658,0.30070384377430986
612,0.0860253961326878,0.3025235703013823
613,0.08641929590538411,0.3043432968284548
614,0.08681196069600934,0.30616302335552725
615,0.08720339525501258,0.3079827498825997
616,0.08759360431939173,0.3098024764096722
617,0.08798259261264697,0.31162220293674464
618,0.08837036484474042,0.3134419294638171
619,0.08875692571205668,0.31526165599088957
620,0.0891422798973613,0.31708138251796203
621,0.08952643206975987,0.3189011090450345
622,0.08990938688465733,0.32072083557210695
623,0.09029114898371787,0.3225405620991794
624,0.09067172299482681,0.3243602886262519
625,0.09105111353205127,0.32618001515332434
626,0.0914293251956031,0.3279997416803968
627,0.09180636257180172,0.32981946820746927
628,0.09218223023303776,0.33163919473454173
629,0.09255693273773748,0.3334589212616142
630,0.09293047463032787,0.33527864778868666
631,0.09330286044120281,0.3370983743157591
632,0.09367409468668984,0.3389181008428316
633,0.09404418186901727,0.34073782736990404
634,0.09441312647628286,0.3425575538969765
